TimeLeft,StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,TimeRight,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
65.831038769,66.87161608333334,1.057877254,4,5,3,2,1,962,0.221062918,958,0.029974005,988,0.266510107,977,0.398624353,880,0.319058675,0.353504482,0.148187406,0.182770935,0.157823057,,,,,,,,,,,,,,,,,,,,,,,,
67.500249234,158.68844199999998,0.020367572,0,0,0,0,1,2000,0.221062918,2000,0.029974005,2000,0.266510107,2000,0.398624353,1023,0.014092041,-2.353216215,0.148187406,0.182770935,0.157823057,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,68.037439449,163.12798866666665,2.461819215,3,4,5,2,1,975,6.42302E-4,992,2.07976E-4,933,1.81773E-4,962,0.066387824,910,1.918683966,1.539653355,0.031963294,9.42594E-4,3.15403E-4
,,,,,,,,,,,,,,,,,,,,,,,70.025757687,44.71309791666667,1.956043418,0,0,0,0,1,2000,6.42302E-4,2000,2.07976E-4,2000,1.81773E-4,2000,0.066387824,1013,1.938408789,-0.954439684,0.031963294,9.42594E-4,3.15403E-4
74.926212375,210.38162091666666,7.393057102,0,0,3,2,1,2000,0.221062918,2000,0.029974005,1004,0.721973208,995,0.399615321,929,6.192799716,0.103793376,0.015755132,-2.195080942,0.157823057,,,,,,,,,,,,,,,,,,,,,,,,
75.015528741,409.95816549999995,0.038294803,0,0,0,0,1,2000,0.221062918,2000,0.029974005,2000,0.721973208,2000,0.399615321,1015,0.019195609,-7.340284061,0.015755132,-2.195080942,0.157823057,,,,,,,,,,,,,,,,,,,,,,,,
75.050884972,414.4315948333333,0.019969867,0,0,0,0,1,2000,0.221062918,2000,0.029974005,2000,0.721973208,2000,0.399615321,1015,0.013873326,-7.393965213,0.015755132,-2.195080942,0.157823057,,,,,,,,,,,,,,,,,,,,,,,,
75.084919792,417.479722,0.01742754,0,0,0,0,1,2000,0.221062918,2000,0.029974005,2000,0.721973208,2000,0.399615321,1016,0.011718201,-7.430542739,0.015755132,-2.195080942,0.157823057,,,,,,,,,,,,,,,,,,,,,,,,
75.204597164,425.9077761666667,0.035968985,0,0,0,0,1,2000,0.221062918,2000,0.029974005,2000,0.721973208,2000,0.399615321,1015,0.017754837,-7.531679389,0.015755132,-2.195080942,0.157823057,,,,,,,,,,,,,,,,,,,,,,,,
75.590118439,456.55462216666666,0.053726966,0,0,0,0,1,2000,0.221062918,2000,0.029974005,2000,0.721973208,2000,0.399615321,1008,0.036212256,-7.899441541,0.015755132,-2.195080942,0.157823057,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,76.62794849,466.66117366666657,6.570213533,1,3,2,4,5,885,0.119993648,1004,0.301353461,896,4.401032519,1007,0.149574149,897,3.560454092,0.219206919,0.732401481,0.684760765,0.167028914
,,,,,,,,,,,,,,,,,,,,,,,76.833326419,82.41808716666667,0.1866388,0,0,0,0,1,2000,0.119993648,2000,0.301353461,2000,4.401032519,2000,0.149574149,1012,0.103043851,-6.369744211,0.732401481,0.684760765,0.167028914
,,,,,,,,,,,,,,,,,,,,,,,77.103488507,99.395821,0.253068908,0,3,1,0,2,2000,0.119993648,1010,0.015559636,892,0.087923338,2000,0.149574149,1015,5.88378E-4,0.088210065,0.03387801,-5.278402846,0.167028914
,,,,,,,,,,,,,,,,,,,,,,,77.87637361,158.1672619166667,0.320696616,0,0,1,3,2,2000,0.119993648,2000,0.015559636,959,0.052176099,996,0.266987243,976,0.038650365,0.013693289,0.022452426,-5.897717777,0.167028914
,,,,,,,,,,,,,,,,,,,,,,,78.645234559,190.38107891666667,0.702992074,0,0,0,0,1,2000,0.119993648,2000,0.015559636,2000,0.052176099,2000,0.266987243,909,0.250829307,-0.372872515,0.022452426,-5.897717777,0.167028914
,,,,,,,,,,,,,,,,,,,,,,,80.768712985,251.76984425,2.089804775,0,0,0,0,1,2000,0.119993648,2000,0.015559636,2000,0.052176099,2000,0.266987243,968,0.039368789,-1.109537699,0.022452426,-5.897717777,0.167028914
85.224722717,702.3678389166666,9.567053213,0,0,2,1,3,2000,0.221062918,2000,0.029974005,1004,5.373755696,1001,8.798976933,909,3.77153401,0.385672312,0.119094108,-10.704812389,0.157823057,,,,,,,,,,,,,,,,,,,,,,,,
85.544502899,99.02489983333334,0.27012119,0,0,0,0,1,2000,0.221062918,2000,0.029974005,2000,5.373755696,2000,8.798976933,1014,0.170026391,-9.231040553,0.119094108,-10.704812389,0.157823057,,,,,,,,,,,,,,,,,,,,,,,,
86.015753075,122.79866725,0.456085068,0,0,0,0,1,2000,0.221062918,2000,0.029974005,2000,5.373755696,2000,8.798976933,1013,0.356845293,-9.516325762,0.119094108,-10.704812389,0.157823057,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,87.771036065,164.95305125000002,3.684952876,0,0,3,1,2,2000,0.119993648,2000,0.015559636,1002,0.018835853,933,2.73405342,891,3.037803689,0.013496383,2.151795574,-14.557270943,0.167028914
87.78813166,164.95305125000002,1.722611932,0,1,2,3,4,2000,0.221062918,991,0.052053179,1002,0.323057618,975,0.322991124,890,1.635929179,0.013856608,1.88179E-4,0.054936425,-20.519054806,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,87.858895582,7315.737321749999,0.070044639,0,2,3,1,0,2000,0.119993648,1004,0.017117043,986,0.017039334,1000,0.035196986,2000,3.037803689,0.01771125,2.67254E-4,-16.112722975,0.167028914
88.429727028,7329.818132833333,0.471908189,3,4,1,2,0,989,0.233715446,903,0.101089322,982,0.136839675,966,0.122630801,2000,1.635929179,0.014333554,0.156650816,5.05828E-4,-22.513862395,,,,,,,,,,,,,,,,,,,,,,,,
89.018442355,7410.849637999998,0.088246061,0,0,0,0,1,2000,0.233715446,2000,0.101089322,2000,0.136839675,2000,0.122630801,921,0.069497764,-0.958044508,0.156650816,5.05828E-4,-22.513862395,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,89.052476697,7419.468749166667,0.018848948,1,0,0,0,0,1020,0.012897543,2000,0.017117043,2000,0.017039334,2000,0.035196986,2000,3.037803689,-1.227065879,2.67254E-4,-16.112722975,0.167028914
89.676758917,7422.5165962500005,0.606558919,4,5,1,2,3,942,0.265663024,929,0.183001933,986,0.189197261,980,0.141304341,1003,0.033706388,0.016388658,0.08950837,0.067562017,0.034024485,,,,,,,,,,,,,,,,,,,,,,,,
90.479532225,7536.883204416666,0.036933164,0,0,1,0,0,2000,0.265663024,2000,0.183001933,1010,0.01745081,2000,0.141304341,2000,0.033706388,-1.35601064,0.08950837,0.067562017,0.034024485,,,,,,,,,,,,,,,,,,,,,,,,
